module,kind,name,signature,line,doc
mugenforge/air_tools.py,class/dataclass,AirLineClsnBox,AirLineClsnBox,8,
mugenforge/air_tools.py,class/dataclass,AirLineFrame,AirLineFrame,18,
mugenforge/air_tools.py,class/dataclass,AirLineAction,AirLineAction,31,
mugenforge/air_tools.py,constant,ACTION_RE,ACTION_RE,37,
mugenforge/air_tools.py,constant,FRAME_RE,FRAME_RE,38,
mugenforge/air_tools.py,constant,CLSN_RE,CLSN_RE,39,
mugenforge/air_tools.py,constant,CLSN_LINE_RE,CLSN_LINE_RE,40,
mugenforge/air_tools.py,function,parse_air_with_lines,parse_air_with_lines(text: str) -> List[AirLineAction],43,
mugenforge/air_tools.py,function,find_frame,"find_frame(actions: List[AirLineAction], action_number: int, frame_index: int) -> Optional[AirLineFrame]",78,
mugenforge/air_tools.py,function,normalize_box,"normalize_box(kind: str, x1: int, y1: int, x2: int, y2: int) -> AirLineClsnBox",87,
mugenforge/air_tools.py,function,validate_boxes,validate_boxes(boxes: List[AirLineClsnBox]) -> List[str],92,
mugenforge/air_tools.py,function,update_frame_clsn_text,"update_frame_clsn_text(text: str, action_number: int, frame_index: int, boxes: List[AirLineClsnBox]) -> Tuple[str, List[str]]",104,Replace per-frame Clsn1/Clsn2[] lines immediately attached to a frame.
mugenforge/app.py,constant,APP_TITLE,APP_TITLE,11,
mugenforge/app.py,class,MugenForgeApp,MugenForgeApp,13,
mugenforge/app.py,method,MugenForgeApp.set_text,"set_text(self, widget: tk.Text, text: str)",99,
mugenforge/app.py,function,main,main(),106,
mugenforge/app_mixins.py,class,AppBehaviorMixins,AppBehaviorMixins,23,
mugenforge/app_state.py,function,initialize_app_state,initialize_app_state(app: Any) -> None,8,
mugenforge/artifact_io.py,function,rel_path,"rel_path(root: Path, path: Path | str) -> str",12,
mugenforge/artifact_io.py,function,timestamp,timestamp() -> str,19,
mugenforge/artifact_io.py,function,record_artifact,"record_artifact(result: object, path: Path, root: Optional[Path], changed: bool=False) -> None",23,
mugenforge/artifact_io.py,function,write_text_artifact,"write_text_artifact(path: Path, text: str, result: Optional[object]=None, root: Optional[Path]=None, changed: bool=False, track_existing: bool=False, writer: Optional[Callable[[Path, str], object]]=None) -> Path",28,
mugenforge/artifact_io.py,function,write_json_artifact,"write_json_artifact(path: Path, payload: object, result: Optional[object]=None, root: Optional[Path]=None, changed: bool=False, track_existing: bool=False) -> Path",51,
mugenforge/artifact_io.py,function,write_csv_artifact,"write_csv_artifact(path: Path, rows: Sequence[Dict[str, object]], fields: Sequence[str], result: Optional[object]=None, root: Optional[Path]=None, changed: bool=False, track_existing: bool=False) -> Path",69,
mugenforge/artifact_io.py,function,sha256_file,sha256_file(path: Path) -> str,92,
mugenforge/artifact_io.py,function,backup_file,"backup_file(path: Path, tag: str) -> Optional[Path]",100,
mugenforge/authority_core.py,constant,AUTHORITY_CORE_VERSION,AUTHORITY_CORE_VERSION,35,
mugenforge/authority_core.py,constant,TEXT_CODE_EXTS,TEXT_CODE_EXTS,36,
mugenforge/authority_core.py,constant,BINARY_EXTS,BINARY_EXTS,37,
mugenforge/authority_core.py,constant,EVIDENCE_EXTS,EVIDENCE_EXTS,38,
mugenforge/authority_core.py,constant,ERROR_RE,ERROR_RE,39,
mugenforge/authority_core.py,constant,WARN_RE,WARN_RE,40,
mugenforge/authority_core.py,constant,TELEMETRY_RE,TELEMETRY_RE,41,
mugenforge/authority_core.py,constant,AUTHORITY_CORE_VERSION,AUTHORITY_CORE_VERSION,55,
mugenforge/authority_core.py,constant,TEXT_CODE_EXTS,TEXT_CODE_EXTS,56,
mugenforge/authority_core.py,constant,BINARY_EXTS,BINARY_EXTS,57,
mugenforge/authority_core.py,constant,EVIDENCE_EXTS,EVIDENCE_EXTS,58,
mugenforge/authority_core.py,constant,ERROR_RE,ERROR_RE,59,
mugenforge/authority_core.py,constant,WARN_RE,WARN_RE,60,
mugenforge/authority_core.py,constant,TELEMETRY_RE,TELEMETRY_RE,61,
mugenforge/authority_core.py,class/dataclass,AuthorityCoreResult,AuthorityCoreResult,65,
mugenforge/authority_core.py,function,_authority_dir,_authority_dir(root: Path) -> Path,77,
mugenforge/authority_core.py,function,_write,"_write(root: Path, path: Path, text: str, result: Optional[AuthorityCoreResult]=None, changed: bool=False) -> Path",83,
mugenforge/authority_core.py,function,_write_json,"_write_json(root: Path, path: Path, payload: object, result: Optional[AuthorityCoreResult]=None, changed: bool=False) -> Path",90,
mugenforge/authority_core.py,function,_read_json,"_read_json(path: Path, default: object) -> object",94,
mugenforge/authority_core.py,function,_csv_write,"_csv_write(path: Path, rows: Sequence[Dict[str, object]], fields: Sequence[str]) -> None",101,
mugenforge/authority_core.py,function,_csv_read,"_csv_read(path: Path) -> List[Dict[str, str]]",105,
mugenforge/authority_core.py,function,_backup_file,_backup_file(path: Path) -> Optional[Path],112,
mugenforge/authority_core.py,function,_default_engine_config,"_default_engine_config(root: Path) -> Dict[str, object]",117,
mugenforge/authority_core.py,function,_engine_config_path,_engine_config_path(root: Path) -> Path,141,
mugenforge/authority_core.py,function,_read_engine_config,"_read_engine_config(root: Path) -> Dict[str, object]",145,
mugenforge/authority_core.py,function,write_authority_dashboard,write_authority_dashboard(root: Path) -> AuthorityCoreResult,166,
mugenforge/authority_core.py,function,write_engine_contract_profiles,write_engine_contract_profiles(root: Path) -> AuthorityCoreResult,199,
mugenforge/authority_core.py,function,validate_engine_configuration,validate_engine_configuration(root: Path) -> AuthorityCoreResult,241,
mugenforge/authority_core.py,function,_contract_args,_contract_args(profile: str) -> List[str],283,
mugenforge/authority_core.py,function,_expand_args,"_expand_args(args: Sequence[object], cfg: Dict[str, object], log_path: Path) -> List[str]",291,
mugenforge/authority_core.py,function,build_engine_command,"build_engine_command(root: Path, scenario_id: str='smoke') -> Tuple[List[str], Path, Dict[str, object]]",307,
mugenforge/authority_core.py,function,run_authoritative_engine_scenario,"run_authoritative_engine_scenario(root: Path, scenario_id: str='smoke', timeout_seconds: Optional[float]=None, dry_run: bool=False) -> AuthorityCoreResult",322,
mugenforge/authority_core.py,function,parse_engine_run_results,parse_engine_run_results(root: Path) -> AuthorityCoreResult,384,
mugenforge/authority_core.py,function,_telemetry_rows,"_telemetry_rows(root: Path) -> List[Dict[str, object]]",427,
mugenforge/authority_core.py,function,write_runtime_reconciliation_report,write_runtime_reconciliation_report(root: Path) -> AuthorityCoreResult,451,
mugenforge/authority_core.py,function,_corpus_root,"_corpus_root(root: Path, corpus_folder: Optional[Path | str]=None) -> Path",496,
mugenforge/authority_core.py,function,write_sff_snd_corpus_validation_suite,"write_sff_snd_corpus_validation_suite(root: Path, corpus_folder: Optional[Path | str]=None) -> AuthorityCoreResult",506,
mugenforge/authority_core.py,function,triage_unknown_binary_layouts,"triage_unknown_binary_layouts(root: Path, corpus_folder: Optional[Path | str]=None) -> AuthorityCoreResult",558,
mugenforge/authority_core.py,function,export_binary_install_sheet,export_binary_install_sheet(root: Path) -> AuthorityCoreResult,592,
mugenforge/authority_core.py,function,install_verified_binary_candidates,"install_verified_binary_candidates(root: Path, sheet_path: Optional[Path | str]=None) -> AuthorityCoreResult",635,
mugenforge/authority_core.py,function,_hitdef_locations,"_hitdef_locations(root: Path) -> List[Dict[str, object]]",679,
mugenforge/authority_core.py,function,write_gameplay_tuning_feedback_sheet,write_gameplay_tuning_feedback_sheet(root: Path) -> AuthorityCoreResult,695,
mugenforge/authority_core.py,function,_replace_hitdef_damage,"_replace_hitdef_damage(text: str, target_line: int, new_value: str) -> Tuple[str, bool]",724,
mugenforge/authority_core.py,function,_scale_air_action_ticks,"_scale_air_action_ticks(text: str, action_no: int, scale: float) -> Tuple[str, bool]",741,
mugenforge/authority_core.py,function,apply_gameplay_tuning_feedback_sheet,"apply_gameplay_tuning_feedback_sheet(root: Path, sheet_path: Optional[Path | str]=None) -> AuthorityCoreResult",767,
mugenforge/authority_core.py,function,write_authority_score,write_authority_score(root: Path) -> AuthorityCoreResult,815,
mugenforge/authority_core.py,function,build_authority_core_bundle,build_authority_core_bundle(root: Path) -> AuthorityCoreResult,889,
mugenforge/authority_core.py,function,run_authority_core_pass,run_authority_core_pass(root: Path) -> AuthorityCoreResult,907,
mugenforge/authority_lab.py,constant,AUTHORITY_LAB_VERSION,AUTHORITY_LAB_VERSION,30,
mugenforge/authority_lab.py,constant,CODE_EXTS,CODE_EXTS,31,
mugenforge/authority_lab.py,constant,BINARY_EXTS,BINARY_EXTS,32,
mugenforge/authority_lab.py,constant,EVIDENCE_EXTS,EVIDENCE_EXTS,33,
mugenforge/authority_lab.py,constant,AUTHORITY_LAB_VERSION,AUTHORITY_LAB_VERSION,47,
mugenforge/authority_lab.py,constant,CODE_EXTS,CODE_EXTS,48,
mugenforge/authority_lab.py,constant,BINARY_EXTS,BINARY_EXTS,49,
mugenforge/authority_lab.py,constant,EVIDENCE_EXTS,EVIDENCE_EXTS,50,
mugenforge/authority_lab.py,class/dataclass,AuthorityLabResult,AuthorityLabResult,54,
mugenforge/authority_lab.py,function,_auth_dir,_auth_dir(root: Path) -> Path,64,
mugenforge/authority_lab.py,function,_write_text,"_write_text(path: Path, text: str, res: Optional[AuthorityLabResult]=None, root: Optional[Path]=None, changed: bool=False) -> Path",70,
mugenforge/authority_lab.py,function,_write_json,"_write_json(path: Path, payload: object, res: Optional[AuthorityLabResult]=None, root: Optional[Path]=None, changed: bool=False) -> Path",74,
mugenforge/authority_lab.py,function,_write_csv,"_write_csv(path: Path, rows: Sequence[Dict[str, object]], fields: Sequence[str], res: Optional[AuthorityLabResult]=None, root: Optional[Path]=None) -> Path",78,
mugenforge/authority_lab.py,function,_read_json,"_read_json(path: Path, default: object) -> object",82,
mugenforge/authority_lab.py,function,_main_def,_main_def(root: Path) -> Optional[Path],89,
mugenforge/authority_lab.py,function,_def_refs,"_def_refs(root: Path) -> Dict[str, str]",93,
mugenforge/authority_lab.py,function,_project_files,"_project_files(root: Path) -> Dict[str, Optional[Path]]",106,
mugenforge/authority_lab.py,function,_code_files,_code_files(root: Path) -> List[Path],110,
mugenforge/authority_lab.py,function,_all_state_defs,"_all_state_defs(root: Path) -> Dict[int, List[str]]",114,
mugenforge/authority_lab.py,function,_all_change_targets,"_all_change_targets(root: Path) -> List[Dict[str, object]]",126,
mugenforge/authority_lab.py,function,_air_actions,_air_actions(root: Path),156,
mugenforge/authority_lab.py,function,_anim_duration,"_anim_duration(actions_by_no: Dict[int, object], anim_no: int) -> int",166,
mugenforge/authority_lab.py,function,_evidence_files,_evidence_files(root: Path) -> List[Path],180,
mugenforge/authority_lab.py,function,write_authority_dashboard,write_authority_dashboard(root: Path) -> AuthorityLabResult,207,
mugenforge/authority_lab.py,function,verify_engine_profile,"verify_engine_profile(root: Path, run_probe: bool=False, timeout_seconds: float=5.0) -> AuthorityLabResult",271,
mugenforge/authority_lab.py,function,build_source_runtime_simulation,"build_source_runtime_simulation(root: Path, max_steps_per_state: int=180) -> AuthorityLabResult",367,
mugenforge/authority_lab.py,function,_byte_entropy,_byte_entropy(data: bytes) -> float,462,
mugenforge/authority_lab.py,function,_fingerprint_sff,"_fingerprint_sff(path: Path) -> Dict[str, object]",477,
mugenforge/authority_lab.py,function,validate_sff2_corpus,"validate_sff2_corpus(root: Path, corpus_folder: Optional[Path]=None, export_decode_samples: bool=True, max_files: int=500) -> AuthorityLabResult",503,
mugenforge/authority_lab.py,function,_candidate_binary_files,_candidate_binary_files(root: Path) -> List[Path],625,
mugenforge/authority_lab.py,function,export_verified_binary_commit_sheet,export_verified_binary_commit_sheet(root: Path) -> AuthorityLabResult,648,
mugenforge/authority_lab.py,function,apply_verified_binary_commit_sheet,"apply_verified_binary_commit_sheet(root: Path, sheet_path: Optional[Path]=None) -> AuthorityLabResult",689,
mugenforge/authority_lab.py,function,write_gameplay_tuning_workbench,write_gameplay_tuning_workbench(root: Path) -> AuthorityLabResult,755,
mugenforge/authority_lab.py,function,write_evidence_authority_gate,write_evidence_authority_gate(root: Path) -> AuthorityLabResult,819,
mugenforge/authority_lab.py,function,build_authority_bundle,build_authority_bundle(root: Path) -> AuthorityLabResult,914,
mugenforge/authority_lab.py,function,run_authority_lab_pass,run_authority_lab_pass(root: Path) -> AuthorityLabResult,935,
mugenforge/automation_bank/__init__.py,function,build_feature_package,build_feature_package(feature_id: str) -> FeaturePackage,38,
mugenforge/automation_bank/base.py,class/dataclass,FeaturePreset,FeaturePreset,19,
mugenforge/automation_bank/base.py,class/dataclass,FeaturePackage,FeaturePackage,31,
mugenforge/automation_bank/base.py,class/dataclass,ApplyResult,ApplyResult,43,
mugenforge/automation_bank/base.py,method,ApplyResult.to_text,to_text(self) -> str,49,
mugenforge/automation_bank/base.py,function,available_presets,available_presets() -> List[FeaturePreset],66,
mugenforge/automation_bank/base.py,function,get_preset,get_preset(feature_id: str) -> FeaturePreset,71,
mugenforge/automation_bank/base.py,function,preset_display_list,preset_display_list() -> List[str],79,
mugenforge/automation_bank/base.py,function,preset_by_display,preset_by_display(display: str) -> FeaturePreset,84,
mugenforge/automation_bank/base.py,function,_marker,_marker(feature_id: str) -> str,92,
mugenforge/automation_bank/base.py,function,_wrap,"_wrap(feature_id: str, title: str, block: str) -> str",96,
mugenforge/automation_bank/base.py,function,_spec,"_spec(move_name: str, command_name: str, command_input: str, state_no: int, anim_no: Optional[int]=None, sprite_group: Optional[int]=None, move_type: str='attack', damage: int=35, frame_count: int=4, ticks: int=4, hit_frame: int=2, hit_box: tuple[int, int, int, int]=(18, -72, 58, -36), body_box: tuple[int, int, int, int]=(-18, -88, 18, 0), sound: tuple[int, int]=(5, 0), ground_velocity: tuple[float, float]=(-3.0, 0.0), air_velocity: tuple[float, float]=(-2.0, -4.0)) -> MoveWizardSpec",102,
mugenforge/automation_bank/base.py,function,_pack_from_specs,"_pack_from_specs(feature_id: str, name: str, specs: Sequence[MoveWizardSpec], notes: Optional[List[str]]=None) -> FeaturePackage",142,
mugenforge/automation_bank/base.py,function,_basic_air_actions,_basic_air_actions() -> str,164,
mugenforge/automation_bank/base.py,function,_common_command_bank,_common_command_bank() -> str,203,
mugenforge/automation_bank/base.py,function,_debug_overlay_block,_debug_overlay_block() -> str,219,
mugenforge/automation_bank/base.py,function,_simple_pose_state,"_simple_pose_state(state_no: int, anim_no: int, label: str, state_type: str='S') -> str",231,
mugenforge/automation_bank/base.py,function,_simple_pose_air,"_simple_pose_air(anim_no: int, label: str, frames: int=5) -> str",250,
mugenforge/automation_bank/base.py,function,_movement_fx_state,"_movement_fx_state(state_no: int, anim_no: int, label: str, x_vel: float=4.0, y_vel: float=0.0, ticks: int=16, nothit: bool=False, afterimage: bool=False) -> str",259,
mugenforge/automation_bank/base.py,function,_state_minus_one,"_state_minus_one(command_name: str, state_no: int, label: str, extra_trigger: str='trigger1 = ctrl') -> str",301,
mugenforge/automation_bank/base.py,function,_command_block,"_command_block(command_name: str, command: str, time: int=12, buffer: int=4) -> str",312,
mugenforge/automation_bank/base.py,function,package_preview_text,package_preview_text(package: FeaturePackage) -> str,322,
mugenforge/automation_bank/base.py,function,_timestamp,_timestamp() -> str,337,
mugenforge/automation_bank/base.py,function,_backup_path,_backup_path(path: Path) -> Path,341,
mugenforge/automation_bank/base.py,function,_append_unique,"_append_unique(path: Path, block: str, marker_id: str, result: ApplyResult) -> None",345,
mugenforge/automation_bank/base.py,function,_fallback_file,"_fallback_file(root: Path, kind: str) -> Path",363,
mugenforge/automation_bank/base.py,function,apply_feature_package,"apply_feature_package(root: Path, package: FeaturePackage) -> ApplyResult",369,
mugenforge/automation_bank/base.py,function,apply_preset,"apply_preset(root: Path, feature_id: str) -> ApplyResult",394,
mugenforge/automation_bank/base.py,function,apply_beginner_pack,apply_beginner_pack(root: Path) -> ApplyResult,400,
mugenforge/automation_bank/base.py,function,default_project_profile,"default_project_profile() -> Dict[str, object]",412,
mugenforge/automation_bank/base.py,function,beginner_guide_text,beginner_guide_text() -> str,433,
mugenforge/automation_bank/base.py,function,_ensure_def_files_section,"_ensure_def_files_section(def_path: Path, references: Dict[str, str]) -> bool",466,
mugenforge/automation_bank/base.py,function,auto_setup_project,auto_setup_project(root: Path) -> ApplyResult,516,
mugenforge/automation_bank/base.py,function,beginner_project_status,beginner_project_status(root: Path) -> str,553,
mugenforge/automation_bank/base.py,function,export_code_bank_template,export_code_bank_template(root: Path) -> Path,587,
mugenforge/automation_bank/base.py,function,kit_names,kit_names() -> List[str],600,
mugenforge/automation_bank/base.py,function,kit_preview_text,kit_preview_text(kit_name: str) -> str,605,
mugenforge/automation_bank/base.py,function,apply_feature_ids_pack,"apply_feature_ids_pack(root: Path, ids: Sequence[str]) -> ApplyResult",619,
mugenforge/automation_bank/base.py,function,apply_kit,"apply_kit(root: Path, kit_name: str) -> ApplyResult",630,
mugenforge/automation_bank/base.py,function,make_placeholder_sprite_sheet,make_placeholder_sprite_sheet(root: Path) -> ApplyResult,635,
mugenforge/automation_bank/base.py,function,feature_bank_stats,"feature_bank_stats() -> Dict[str, object]",687,
mugenforge/automation_bank/base.py,function,feature_bank_stats_text,feature_bank_stats_text() -> str,702,
mugenforge/automation_bank/builders_classic.py,function,_teleport_package,"_teleport_package(feature_id: str, preset: FeaturePreset) -> FeaturePackage",28,
mugenforge/automation_bank/builders_classic.py,function,_defense_package,"_defense_package(feature_id: str, preset: FeaturePreset, command_name: str, command: str, state_no: int, label: str, kind: str) -> FeaturePackage",68,
mugenforge/automation_bank/builders_classic.py,function,_throw_package,"_throw_package(feature_id: str, preset: FeaturePreset, command_name: str, command: str, state_no: int, label: str) -> FeaturePackage",131,
mugenforge/automation_bank/builders_classic.py,function,_power_install_package,"_power_install_package(feature_id: str, preset: FeaturePreset) -> FeaturePackage",171,
mugenforge/automation_bank/builders_classic.py,function,_helper_fx_package,"_helper_fx_package(feature_id: str, preset: FeaturePreset, kind: str) -> FeaturePackage",220,
mugenforge/automation_bank/builders_classic.py,function,_tooling_package,"_tooling_package(feature_id: str, preset: FeaturePreset) -> FeaturePackage",316,
mugenforge/automation_bank/builders_classic.py,function,build_classic_feature,build_classic_feature(feature_id: str) -> Optional[FeaturePackage],369,
mugenforge/automation_bank/builders_labs.py,function,_quality_doc,"_quality_doc(feature_id: str, preset: FeaturePreset) -> FeaturePackage",18,
mugenforge/automation_bank/builders_labs.py,function,_quality_system,"_quality_system(feature_id: str, preset: FeaturePreset) -> FeaturePackage",57,
