order,tab,frame_expr,line,builder_guess
1,Editor,editor_frame,321,
2,Analysis,self.analysis,324,
3,Code Map,code_frame,339,
4,AIR Timeline,air_frame,349,
5,CLSN Editor,clsn_frame,399,
6,Sprites,sprite_frame,438,
7,Sheet Import,sheet_frame,493,
8,Sounds,sound_frame,522,
9,Binary / Preview,self.preview,525,
10,Animation Player,anim_frame,551,
11,Code Assistant,author_frame,581,
12,Move Wizard,wizard_frame,618,
13,Feature Bank,auto_frame,742,_build_auto_builder_tab
14,Factory Max,max_frame,811,_build_factory_max_tab
15,Factory Ultra,ultra,878,_build_factory_ultra_tab
16,Creator OS,os_frame,949,_build_creator_os_tab
17,Factory Ultra,ultra,1006,_build_factory_ultra_tab
18,Quality Lab,ql,1066,_build_quality_lab_tab
19,Creator Suite,suite,1198,_build_creator_suite_tab
20,Creator Hub,hub,1342,_build_creator_hub_tab
21,SFF2 Bridge,bridge,1469,_build_sff2_bridge_tab
22,Rescue Lab,rescue,1642,_build_rescue_lab_tab
23,Image Factory,img,1742,_build_image_factory_tab
24,Palettes,palette_frame,1779,_build_palette_tab
25,Studio Plus,plus_frame,1862,_build_studio_plus_tab
26,Factory+,factory_frame,1921,_build_factory_plus_tab
27,Forge+ Doctor,forge,1964,_build_forge_plus_tab
28,Sprite Lab,lab,2032,_build_sprite_lab_tab
29,Stage Builder,stage,2070,_build_stage_builder_tab
30,Run / Test,run,2100,_build_run_test_tab
31,Project Home,home,2264,_build_visual_forge_home_tab
32,Visual Timeline,tab,2404,_build_visual_timeline_editor_tab
33,Offset / Axis,tab,2617,_build_sprite_offset_axis_tab
34,Sound Cue Editor,tab,2766,_build_sound_cue_editor_tab
35,Move Composer 2.0,tab,2859,_build_move_composer2_tab
36,Migration Wizard,tab,2924,_build_migration_wizard_tab
37,Training Debug,tab,2970,_build_training_debug_tab
38,Templates / Plugins,tab,3004,_build_plugin_template_tab
39,Backups / Logs,tab,3056,_build_backup_log_tab
40,Forge Beyond,frame,6333,_build_forge_beyond_tab
41,Forge Polish,frame,6614,_build_forge_polish_tab
42,Forge Timeline,frame,6952,_build_forge_timeline_tab
43,Binary Core,frame,7232,_build_binary_core_tab
44,Binary Deep,frame,7464,_build_binary_deep_tab
45,Binary Maturity,frame,7655,_build_binary_maturity_tab
46,Runtime Lab,frame,7833,_build_runtime_lab_tab
47,Gap Closer,frame,8011,_build_gap_closer_tab
48,Authority Core,frame,8240,_build_authority_core_tab
49,Authority Lab,frame,8464,_build_authority_lab_tab
50,Closure Lab,frame,8645,_build_closure_lab_tab
51,Evidence Core,frame,8875,_build_evidence_core_tab
52,Handoff Core,frame,9106,_build_handoff_core_tab
53,Operator Console,frame,9210,_build_operator_console_tab
54,Maintenance Core,frame,9336,_build_maintenance_core_tab
