category,name,relative_path,absolute_path,extension,bytes,last_write_time
game_mechanics,activetag.zip,game mechanics\activetag.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\activetag.zip,.zip,17083,2026-06-14T08:45:22
game_mechanics,add004ikemen20200830a62.zip,game mechanics\add004ikemen20200830a62.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\add004ikemen20200830a62.zip,.zip,3426381,2026-06-14T13:46:53
game_mechanics,Alice.rar,game mechanics\Alice.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\Alice.rar,.rar,7185146,2026-06-14T13:47:15
game_mechanics,alice_kof_AI(mugen1.1).zip,game mechanics\alice_kof_AI(mugen1.1).zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\alice_kof_AI(mugen1.1).zip,.zip,78261,2026-06-14T13:47:20
game_mechanics,attackdata.zip,game mechanics\attackdata.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\attackdata.zip,.zip,6919,2026-06-14T08:45:32
game_mechanics,autostagecamera.zip,game mechanics\autostagecamera.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\autostagecamera.zip,.zip,4348,2026-06-14T08:46:15
game_mechanics,clashing.zip,game mechanics\clashing.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\clashing.zip,.zip,4043,2026-06-14T08:46:40
game_mechanics,dashcancel.zip,game mechanics\dashcancel.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\dashcancel.zip,.zip,6771,2026-06-14T08:45:54
game_mechanics,dramaticzoom.zip,game mechanics\dramaticzoom.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\dramaticzoom.zip,.zip,3671,2026-06-14T08:45:42
game_mechanics,Link.rar,game mechanics\Link.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\Link.rar,.rar,7552808,2026-06-14T13:48:49
game_mechanics,MvC2 Mouser Style Template.zip,game mechanics\MvC2 Mouser Style Template.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\MvC2 Mouser Style Template.zip,.zip,10658425,2026-06-14T13:49:39
game_mechanics,orochi-kyotag-13-02-26.7z,game mechanics\orochi-kyotag-13-02-26.7z,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\orochi-kyotag-13-02-26.7z,.7z,189292,2026-06-14T13:45:15
game_mechanics,shadowassist.zip,game mechanics\shadowassist.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\shadowassist.zip,.zip,6933,2026-06-14T08:46:07
game_mechanics,SheHulkMVC.rar,game mechanics\SheHulkMVC.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\SheHulkMVC.rar,.rar,8631289,2026-06-14T13:47:47
game_mechanics,Vanessa.rar,game mechanics\Vanessa.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\Vanessa.rar,.rar,1783550,2026-06-14T13:49:29
game_mechanics,VPFG_2.6.rar,game mechanics\VPFG_2.6.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\game mechanics\VPFG_2.6.rar,.rar,130979947,2026-06-14T13:46:13
third_party_characters,Alucard.rar,third_party_characters\Alucard.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Alucard.rar,.rar,13982320,2026-06-14T09:53:01
third_party_characters,ananzi.zip,third_party_characters\ananzi.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\ananzi.zip,.zip,7002611,2026-06-14T08:50:19
third_party_characters,animus.zip,third_party_characters\animus.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\animus.zip,.zip,12544846,2026-06-14T08:50:29
third_party_characters,Balrog.zip,third_party_characters\Balrog.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Balrog.zip,.zip,68492412,2026-06-14T00:43:54
third_party_characters,Blanka HD.rar,third_party_characters\Blanka HD.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Blanka HD.rar,.rar,19055586,2026-06-14T00:42:36
third_party_characters,Cammy HD.zip,third_party_characters\Cammy HD.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Cammy HD.zip,.zip,10199766,2026-06-14T00:44:34
third_party_characters,Cervantes.zip,third_party_characters\Cervantes.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Cervantes.zip,.zip,12487240,2026-06-14T09:44:02
third_party_characters,CFJ_Cham_Cham.rar,third_party_characters\CFJ_Cham_Cham.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\CFJ_Cham_Cham.rar,.rar,8723666,2026-06-14T09:48:33
third_party_characters,Chun-Li HD.rar,third_party_characters\Chun-Li HD.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Chun-Li HD.rar,.rar,22401776,2026-06-14T00:42:51
third_party_characters,CvS_Edward.rar,third_party_characters\CvS_Edward.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\CvS_Edward.rar,.rar,15867296,2026-06-14T09:50:28
third_party_characters,CvS_Inferno.rar,third_party_characters\CvS_Inferno.rar,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\CvS_Inferno.rar,.rar,6802180,2026-06-14T09:50:17
third_party_characters,Dante_AI.zip,third_party_characters\Dante_AI.zip,C:\Users\dferr\OneDrive\Desktop\DocRoshi-Fighter-Factory\third_party_characters\Dante_AI.zip,.zip,12441523,2026-06-14T09:56:48
